center_id,meal_id,checkout_price,base_price,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,num_orders
10,1062,191.09,191.09,6.852242569051878,7.02197642307216,6.792344427470809,6.872734272409484,0.1024604061274714,958.0
10,1109,292.03,292.03,7.552762084214147,7.501634457883413,7.277247726631484,7.441032019161541,0.1197979262630061,1525.0
10,1198,171.75,171.75,6.293419278846481,5.602118820879701,6.38856140554563,6.0177492216596296,0.3827692335105734,406.0
10,1207,388.0,390.0,5.652489180268651,4.919980925828125,5.170483995038151,5.163902246717745,0.3470750918905237,54.0
10,1216,417.13,418.13,5.442417710521793,5.905361848054571,4.68213122712422,5.319233714465268,0.5065682901272327,215.0
10,1230,382.24,382.24,5.017279836814924,4.912654885736052,4.812184355372417,4.911848464090456,0.0838502088648234,68.0
10,1247,447.23,445.23,3.367295829986474,2.70805020110221,2.6390573296152584,3.020424797672604,0.4015212988920956,14.0
10,1248,164.96,163.96,5.648974238161206,4.812184355372417,5.25227342804663,5.364908803030102,0.4259380330983362,244.0
10,1311,192.09,193.09,6.2166061010848646,6.368187186350492,6.343880434126331,6.272470260814191,0.0996015204875142,1027.0
10,1438,194.0,194.0,3.9889840465642745,5.003946305945459,4.912654885736052,4.478229605869564,0.5556401799709747,107.0
10,1445,728.53,728.53,5.739792912179234,6.07073772800249,3.737669618283368,4.81544308129235,1.265688564942074,108.0
10,1525,321.13,320.13,6.0063531596017325,6.39024066706535,6.159095388491933,6.1645619524431465,0.1631310353360676,500.0
10,1543,485.03,485.03,5.497168225293202,5.786897381366708,5.318119993844216,5.478847894886479,0.2224865711940993,351.0
10,1558,564.6,564.6,4.90527477843843,5.099866427824199,6.610696044717759,5.797379354485258,0.921321848853348,149.0
10,1571,639.23,640.23,5.318119993844216,6.008813185442595,5.598421958998375,5.541775538336207,0.3470695886754476,270.0
10,1727,464.63,466.63,6.80903930604298,6.8658910748834385,6.851184927493743,6.822500054245649,0.0459076234441797,864.0
10,1754,320.16,318.16,7.057897937411856,6.880384082186005,6.763884908562435,6.888866505336594,0.1231922844867993,1027.0
